"tipo","max.frec"
"B","g"
"A","a"
"A","c"
"C","t"
"A","t"
"A","a"
"A","a"
"C","g"
"B","c"
"B","c"
"A","a"
"B","a"
"B","c"
"A","g"
"B","a"
"A","c"
"A","c"
"B","c"
"B","c"
"C","g"
"A","c"
"B","c"
"C","t"
"A","t"
"B","a"
"A","t"
"B","a"
"A","a"
"A","t"
"B","t"
"A","g"
"A","c"
"A","c"
"A","a"
"B","c"
"A","a"
"C","t"
"A","g"
"A","g"
"C","t"
"B","c"
"A","a"
"B","c"
"B","c"
"C","g"
"A","a"
"A","g"
"C","c"
"A","a"
"A","a"
"C","t"
"A","a"
"A","t"
"B","a"
"A","c"
"C","c"
"B","c"
"B","c"
"A","c"
"A","a"
"A","t"
"C","g"
"B","c"
"B","c"
"B","c"
"C","c"
"C","g"
"A","a"
"A","t"
"A","a"
"B","a"
"A","a"
"C","t"
"A","g"
"B","a"
"A","c"
"C","g"
"B","a"
"B","a"
"B","a"
"A","c"
"C","t"
"B","a"
"C","c"
"A","t"
"A","g"
"C","g"
"C","g"
"C","c"
"A","g"
"C","c"
"A","c"
"B","c"
"B","t"
"A","a"
"C","g"
"B","a"
"C","g"
"C","g"
"B","a"
"B","t"
"A","g"
"A","a"
"C","g"
"A","g"
"B","c"
"C","t"
"A","t"
"A","g"
"C","g"
"A","g"
"B","a"
"C","g"
"A","g"
"C","c"
"A","c"
"B","c"
"C","c"
"C","t"
"C","g"
"A","a"
"C","g"
"A","t"
"C","t"
"B","c"
"C","a"
"A","a"
"B","g"
"B","c"
"B","a"
"C","g"
"A","a"
"B","a"
"B","c"
"A","c"
"A","g"
"C","c"
"B","c"
"A","g"
"B","g"
"B","g"
"B","a"
"B","a"
"C","c"
"A","c"
"C","c"
"B","c"
"C","g"
"C","g"
"B","a"
"B","a"
"A","t"
"C","t"
"B","c"
"B","g"
"A","t"
"C","t"
"C","g"
"A","c"
"B","c"
"B","c"
"C","t"
"A","g"
"C","g"
"C","t"
"A","a"
"A","a"
"C","g"
"B","a"
"C","g"
"B","c"
"C","g"
"C","t"
"C","g"
"B","g"
"C","g"
"A","g"
"B","c"
"A","t"
"A","t"
"B","c"
"A","t"
"B","a"
"A","t"
"B","a"
"B","c"
"B","c"
"A","c"
"A","t"
"B","a"
"A","c"
"A","t"
"A","a"
